student_id,start_frame,end_frame,label
2,15,71,1
2,76,99,0
41,122,179,0
2,108,112,1
41,182,191,1
41,195,254,0
41,256,273,1
41,284,310,1
41,316,329,0
41,357,372,1
263,390,431,0
41,377,385,0
292,437,490,0
341,495,528,0
292,532,655,0
292,720,767,1
496,781,785,1
292,791,794,1
292,798,883,0
292,885,943,1
292,946,975,0
12,62,125,0
64,135,148,0
167,286,294,1
188,315,328,1
217,348,347,1
342,496,508,0
342,511,684,1
342,700,752,1
127,323,373,1
127,420,442,1
5,18,57,1
3,62,79,1
470,647,965,1
1,17,535,1
478,650,688,0
10,18,216,0
10,251,309,0
10,336,641,0
10,678,965,0
6,15,66,0
6,87,142,0
6,168,291,0
6,335,595,0
4,23,192,1
4,504,611,1
4,737,931,1
7,45,48,1
31,101,146,1
74,167,207,1
164,272,690,1
164,705,970,1
93,308,313,1
93,321,337,1
226,346,445,1
234,451,479,1
338,495,583,1
430,605,618,1
430,631,652,1
234,663,696,1
491,752,851,1
554,887,971,1
