timestamp,behavior,mobility,orientation
2026-01-03T07:53:15.156491Z,INTERACTIVE,0.154,63.934
2026-01-03T07:53:15.278145Z,INTERACTIVE,0.154,33.768
2026-01-03T07:53:15.371392Z,INTERACTIVE,0.155,23.642
2026-01-03T07:53:15.482370Z,INTERACTIVE,0.151,18.543
2026-01-03T07:53:15.605169Z,INTERACTIVE,0.148,15.474
2026-01-03T07:53:15.713866Z,INTERACTIVE,0.145,3.313
2026-01-03T07:53:15.823455Z,INTERACTIVE,0.14,3.218
2026-01-03T07:53:15.932336Z,INTERACTIVE,0.134,3.199
2026-01-03T07:53:16.042365Z,INTERACTIVE,0.13,3.18
2026-01-03T07:53:16.164918Z,INTERACTIVE,0.123,3.164
2026-01-03T07:53:16.257990Z,INTERACTIVE,0.115,3.16
2026-01-03T07:53:16.382396Z,INTERACTIVE,0.109,3.138
2026-01-03T07:53:16.491297Z,INTERACTIVE,0.104,3.109
2026-01-03T07:53:16.614311Z,INTERACTIVE,0.101,3.112
2026-01-03T07:53:16.738768Z,INTERACTIVE,0.101,3.127
2026-01-03T07:53:16.850350Z,INTERACTIVE,0.102,3.148
2026-01-03T07:53:16.959298Z,INTERACTIVE,0.103,3.189
2026-01-03T07:53:17.054340Z,INTERACTIVE,0.103,3.203
2026-01-03T07:53:17.149051Z,INTERACTIVE,0.102,3.221
2026-01-03T07:53:17.315210Z,INTERACTIVE,0.101,3.183
2026-01-03T07:53:17.442895Z,INTERACTIVE,0.101,3.141
2026-01-03T07:53:17.598499Z,INTERACTIVE,0.1,3.107
2026-01-03T07:53:17.722919Z,INTERACTIVE,0.1,3.114
2026-01-03T07:53:17.846296Z,INTERACTIVE,0.1,3.117
2026-01-03T07:53:18.000337Z,INTERACTIVE,0.099,3.193
2026-01-03T07:53:18.156138Z,INTERACTIVE,0.098,3.27
2026-01-03T07:53:18.281322Z,INTERACTIVE,0.098,3.342
2026-01-03T07:53:18.405688Z,INTERACTIVE,0.099,3.389
2026-01-03T07:53:18.530648Z,INTERACTIVE,0.098,3.433
2026-01-03T07:53:18.653418Z,INTERACTIVE,0.099,3.459
2026-01-03T07:53:18.777646Z,INTERACTIVE,0.101,3.463
2026-01-03T07:53:18.899481Z,INTERACTIVE,0.099,3.483
2026-01-03T07:53:19.010454Z,INTERACTIVE,0.096,3.487
2026-01-03T07:53:19.134413Z,INTERACTIVE,0.092,3.495
2026-01-03T07:53:19.243978Z,INTERACTIVE,0.087,3.495
2026-01-03T07:53:19.369401Z,INTERACTIVE,0.082,3.525
2026-01-03T07:53:19.492098Z,INTERACTIVE,0.078,3.463
2026-01-03T07:53:19.602197Z,INTERACTIVE,0.075,3.401
2026-01-03T07:53:19.727236Z,INTERACTIVE,0.074,3.367
2026-01-03T07:53:19.836381Z,INTERACTIVE,0.074,3.335
2026-01-03T07:53:19.960179Z,INTERACTIVE,0.073,3.275
2026-01-03T07:53:20.053950Z,INTERACTIVE,0.074,3.281
2026-01-03T07:53:20.181435Z,INTERACTIVE,0.075,3.283
2026-01-03T07:53:20.289884Z,INTERACTIVE,0.076,3.444
2026-01-03T07:53:20.413214Z,INTERACTIVE,0.079,3.595
2026-01-03T07:53:20.522337Z,INTERACTIVE,0.082,3.767
2026-01-03T07:53:20.645265Z,INTERACTIVE,0.086,3.944
2026-01-03T07:53:20.770370Z,INTERACTIVE,0.088,4.119
2026-01-03T07:53:20.881285Z,INTERACTIVE,0.089,4.102
2026-01-03T07:53:20.989947Z,INTERACTIVE,0.089,4.119
2026-01-03T07:53:21.100310Z,INTERACTIVE,0.09,4.123
2026-01-03T07:53:21.221663Z,INTERACTIVE,0.091,4.11
2026-01-03T07:53:21.347405Z,INTERACTIVE,0.092,4.121
2026-01-03T07:53:21.471033Z,INTERACTIVE,0.094,4.106
2026-01-03T07:53:21.595176Z,INTERACTIVE,0.096,4.069
2026-01-03T07:53:21.720576Z,INTERACTIVE,0.097,4.062
2026-01-03T07:53:21.876157Z,INTERACTIVE,0.097,4.064
2026-01-03T07:53:22.109303Z,INTERACTIVE,0.099,4.056
2026-01-03T07:53:22.235641Z,INTERACTIVE,0.099,16.266
2026-01-03T07:53:22.358876Z,INTERACTIVE,0.098,28.486
2026-01-03T07:53:22.485203Z,PASSIVE,0.098,40.677
2026-01-03T07:53:22.639429Z,PASSIVE,0.098,52.873
2026-01-03T07:53:22.760760Z,PASSIVE,0.097,70.829
2026-01-03T07:53:22.885915Z,PASSIVE,0.099,76.597
2026-01-03T07:53:23.010120Z,PASSIVE,0.103,82.354
2026-01-03T07:53:23.134854Z,PASSIVE,0.104,92.224
2026-01-03T07:53:23.258729Z,PASSIVE,0.107,102.104
2026-01-03T07:53:23.383737Z,PASSIVE,0.11,106.21
2026-01-03T07:53:23.510724Z,PASSIVE,0.112,110.312
2026-01-03T07:53:23.650678Z,PASSIVE,0.113,114.412
2026-01-03T07:53:23.776105Z,PASSIVE,0.115,118.061
2026-01-03T07:53:23.900965Z,PASSIVE,0.115,121.705
2026-01-03T07:53:24.023613Z,PASSIVE,0.115,125.35
2026-01-03T07:53:24.149373Z,PASSIVE,0.114,128.998
2026-01-03T07:53:24.271626Z,PASSIVE,0.114,135.661
2026-01-03T07:53:24.397602Z,INTERACTIVE,0.116,141.589
2026-01-03T07:53:24.522597Z,INTERACTIVE,0.121,149.896
2026-01-03T07:53:24.644373Z,INTERACTIVE,0.127,160.633
2026-01-03T07:53:24.769676Z,INTERACTIVE,0.134,171.369
2026-01-03T07:53:24.912481Z,INTERACTIVE,0.141,181.327
2026-01-03T07:53:25.035969Z,PASSIVE,0.144,190.62
2026-01-03T07:53:25.160304Z,PASSIVE,0.147,197.53
2026-01-03T07:53:25.283315Z,PASSIVE,0.149,203.949
2026-01-03T07:53:25.409306Z,PASSIVE,0.15,210.37
2026-01-03T07:53:25.534004Z,PASSIVE,0.15,216.528
2026-01-03T07:53:25.660354Z,INTERACTIVE,0.152,220.437
2026-01-03T07:53:25.781300Z,INTERACTIVE,0.155,224.346
2026-01-03T07:53:25.890184Z,INTERACTIVE,0.156,224.306
2026-01-03T07:53:26.015078Z,INTERACTIVE,0.158,224.267
2026-01-03T07:53:26.123157Z,INTERACTIVE,0.161,222.252
2026-01-03T07:53:26.248006Z,INTERACTIVE,0.162,222.279
2026-01-03T07:53:26.356785Z,INTERACTIVE,0.163,220.245
2026-01-03T07:53:26.481492Z,INTERACTIVE,0.164,220.227
2026-01-03T07:53:26.591948Z,INTERACTIVE,0.166,222.246
2026-01-03T07:53:26.701797Z,INTERACTIVE,0.17,224.273
2026-01-03T07:53:26.826478Z,INTERACTIVE,0.173,225.999
2026-01-03T07:53:26.948165Z,INTERACTIVE,0.175,231.586
2026-01-03T07:53:27.042686Z,INTERACTIVE,0.178,238.832
2026-01-03T07:53:27.153099Z,INTERACTIVE,0.18,245.722
2026-01-03T07:53:27.274390Z,INTERACTIVE,0.18,252.593
2026-01-03T07:53:27.398168Z,INTERACTIVE,0.181,257.72
2026-01-03T07:53:27.507004Z,INTERACTIVE,0.185,262.597
2026-01-03T07:53:27.617479Z,INTERACTIVE,0.198,267.328
2026-01-03T07:53:27.741923Z,INTERACTIVE,0.215,268.735
2026-01-03T07:53:27.837831Z,INTERACTIVE,0.229,268.56
2026-01-03T07:53:27.960846Z,INTERACTIVE,0.241,266.727
2026-01-03T07:53:28.053706Z,INTERACTIVE,0.249,261.702
2026-01-03T07:53:28.164761Z,INTERACTIVE,0.247,255.163
2026-01-03T07:53:28.272282Z,INTERACTIVE,0.241,248.36
2026-01-03T07:53:28.395752Z,INTERACTIVE,0.236,241.303
2026-01-03T07:53:28.521218Z,INTERACTIVE,0.233,235.905
2026-01-03T07:53:28.645385Z,INTERACTIVE,0.232,230.157
2026-01-03T07:53:28.739214Z,INTERACTIVE,0.229,224.411
2026-01-03T07:53:28.864230Z,INTERACTIVE,0.231,218.619
2026-01-03T07:53:28.958521Z,INTERACTIVE,0.23,214.678
2026-01-03T07:53:29.082052Z,INTERACTIVE,0.229,210.736
2026-01-03T07:53:29.176645Z,INTERACTIVE,0.229,208.79
2026-01-03T07:53:29.301250Z,INTERACTIVE,0.229,206.842
2026-01-03T07:53:29.409616Z,INTERACTIVE,0.226,206.844
2026-01-03T07:53:29.520658Z,INTERACTIVE,0.225,204.591
2026-01-03T07:53:29.613217Z,INTERACTIVE,0.224,202.336
2026-01-03T07:53:29.741110Z,INTERACTIVE,0.222,200.08
2026-01-03T07:53:29.867897Z,INTERACTIVE,0.217,195.572
2026-01-03T07:53:29.992319Z,INTERACTIVE,0.212,188.508
2026-01-03T07:53:30.086879Z,INTERACTIVE,0.207,181.243
2026-01-03T07:53:30.213034Z,INTERACTIVE,0.203,171.128
2026-01-03T07:53:30.336115Z,INTERACTIVE,0.201,157.975
2026-01-03T07:53:30.447026Z,INTERACTIVE,0.2,143.493
2026-01-03T07:53:30.570323Z,INTERACTIVE,0.199,127.418
2026-01-03T07:53:30.665772Z,INTERACTIVE,0.199,113.8
2026-01-03T07:53:30.759530Z,INTERACTIVE,0.195,97.313
2026-01-03T07:53:30.886163Z,INTERACTIVE,0.181,72.392
2026-01-03T07:53:31.010267Z,INTERACTIVE,0.163,50.919
2026-01-03T07:53:31.105019Z,INTERACTIVE,0.146,33.577
2026-01-03T07:53:31.214910Z,INTERACTIVE,0.131,16.182
2026-01-03T07:53:31.309297Z,INTERACTIVE,0.12,4.51
2026-01-03T07:53:31.416909Z,INTERACTIVE,0.119,4.273
2026-01-03T07:53:31.539178Z,INTERACTIVE,0.126,4.163
2026-01-03T07:53:31.646586Z,INTERACTIVE,0.132,4.018
2026-01-03T07:53:31.756074Z,INTERACTIVE,0.138,3.926
2026-01-03T07:53:31.883758Z,INTERACTIVE,0.145,3.888
2026-01-03T07:53:31.979136Z,INTERACTIVE,0.154,4.081
2026-01-03T07:53:32.087897Z,INTERACTIVE,0.2,4.256
2026-01-03T07:53:32.211796Z,INTERACTIVE,0.271,16.403
2026-01-03T07:53:32.337463Z,INTERACTIVE,0.376,34.208
2026-01-03T07:53:32.463115Z,INTERACTIVE,0.499,51.96
2026-01-03T07:53:32.584175Z,INTERACTIVE,0.651,73.246
2026-01-03T07:53:32.707967Z,INTERACTIVE,0.789,94.564
2026-01-03T07:53:32.817858Z,INTERACTIVE,0.903,103.981
2026-01-03T07:53:32.940144Z,INTERACTIVE,0.984,107.735
2026-01-03T07:53:33.063815Z,INTERACTIVE,1.049,111.488
2026-01-03T07:53:33.176059Z,INTERACTIVE,1.1,111.561
2026-01-03T07:53:33.300335Z,INTERACTIVE,1.137,111.624
2026-01-03T07:53:33.411248Z,INTERACTIVE,1.182,111.676
2026-01-03T07:53:33.537281Z,INTERACTIVE,1.248,111.762
2026-01-03T07:53:33.659113Z,INTERACTIVE,1.342,111.875
2026-01-03T07:53:33.753307Z,INTERACTIVE,1.465,114.809
2026-01-03T07:53:33.862798Z,INTERACTIVE,1.625,117.78
2026-01-03T07:53:33.985640Z,INTERACTIVE,1.806,122.59
2026-01-03T07:53:34.109308Z,INTERACTIVE,2.008,129.591
2026-01-03T07:53:34.219208Z,INTERACTIVE,2.203,136.622
