frame,time_sec,student_id,avg_pitch,ratio_head_down,ratio_head_on_desk,ratio_lean_forward,ratio_writing_like,pitch_delta_mean,pitch_delta_std,label_engaged
10,0.3,1,41.2121212121212,1.0,0.0,0.0,0.0,0.0,0.0,
10,0.3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.3,6,29.70872160548847,1.0,0.0,0.0,0.0,0.0,0.0,
10,0.3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,0.63,1,41.13636363636364,1.0,0.0,0.0,0.3,0.0,0.0,1.0
20,0.63,6,31.383108618552647,1.0,0.0,0.0,0.3,0.0,0.0,0.0
20,0.63,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,0.63,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,0.63,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.63,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,0.63,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,0.63,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,0.63,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,0.63,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,0.63,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,0.97,1,41.16161616161616,1.0,0.0,0.0,0.5333333333333333,0.0,0.0,1.0
30,0.97,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,0.97,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,0.97,6,31.62348057353608,0.9666666666666668,0.0,0.0,0.5,0.0,0.0,0.0
30,0.97,25,29.92424242424242,0.8333333333333334,0.0,0.0,0.0833333333333333,0.0,0.0,
30,0.97,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.97,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,0.97,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,0.97,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,0.97,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,0.97,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,1.3,1,41.174242424242415,1.0,0.0,0.0,0.65,0.0,0.0,1.0
40,1.3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,1.3,6,23.71761043015205,0.725,0.0,0.0,0.375,0.0,0.0,0.0
40,1.3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,1.3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1.3,25,24.48347107438017,0.6818181818181818,0.0,0.0,0.2727272727272727,0.0,0.0,
40,1.3,31,22.573529411764703,0.0,0.0,0.0,0.0,0.0,0.0,
40,1.3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,1.3,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
